COMUNE,INDIRIZZO,LAT,LON
ORTA DI ATELLA,Strada Prov.Le Succivo-Marcianise,40.966512,14.268029
PIGNATARO MAGGIORE,Pezzospina,41.190816,14.172324
VILLA LITERNO,Localita' Quarto Di Basso,41.0096944,14.0743065
ANACAPRI,Loc. La Selva senza n.c.,40.555713,14.2136104
CAIVANO,Loc. Omomorto,40.957112,14.31023
CAPRI,Trav. S. Francesco s.n.c.,40.5488429,14.228370814497762
CASTELLAMMARE DI STABIA,Via Napoli,40.70836319229128,14.484315123408773
MARIGLIANO,Loc. Bosco Estirpato,40.9249138,14.4568673
MASSA LUBRENSE,"Via Vespucci, loc. Nerano",40.6117381,14.3434239
NAPOLI EST,Via De Roberto,40.83708755000001,14.303610320697887
SORRENTO,Marina di Aequa,40.624906,14.374836
SORRENTO,"Via del Mare, 33",40.625800324745946,14.366605741549803
TORRE DEL GRECO,Via S.Giuseppe alle Paludi,40.78167262611856,14.370761685690836
TORRE DEL GRECO,"Viale Europa, 2",40.7603452,14.40079839476292
AGROPOLI,Loc. Taverne,40.346905,14.996553
ALBANELLA,Loc. Matinella,40.4784224,15.1166081
AMALFI,Loc. Cieco,40.63367,14.6026095
ASCEA,Ascea Marina - Loc. Petosa,40.1416021,15.18576
ASCEA,Loc. Terradura,40.1416021,15.18576
ASCEA,Loc. Stampella,40.1416021,15.18576
ATENA LUCANA,Loc. Barre,40.4552941,15.5509501
BATTIPAGLIA,Loc. Tavernola,40.6092539,14.9821443
CAMEROTA,Loc. Marina,40.032501,15.372765
CAMPAGNA,Loc. Madonna del Ponte,40.6647292,15.1071455
CAPACCIO,Loc. Varolato,40.424407,15.080854
CASALVELINO,Fraz. Marina,40.192285663651646,15.106344431384343
CASTELLABATE,Loc. Maroccia,40.2779623,14.9554292
CASTELLABATE,Loc. Ogliastro Marina,40.2779623,14.9554292
CELLE DI BULGHERIA,Loc. Gambellitto,40.0954893,15.402705
CELLE DI BULGHERIA,Loc. Grotte,40.0954893,15.402705
CENTOLA,Fraz. Palinuro,40.066502,15.311963
CENTOLA,Palinuro-Portigliola,40.066502,15.311963
EBOLI,Macchione Serracapilli,40.6175146,15.0569438
FURORE,Loc. Portella,40.618792,14.5533482
ISPANI,Loc. Arancia,40.087304,15.558269
MERCATO S.S.,Loc. Costa,40.77694917002745,14.72827724857066
MERCATO SAN SEVERINO,Loc. Costa,40.77694917002745,14.72827724857066
MINORI,Loc. Grotte,40.652708,14.624941
MONTECORICE,Loc. Agnone,40.2340242,14.984681
